Team_ID,Composition,Probability,Expected_Payoff,In_Support
509,"Mouse, Cricket, Mosquito",0.0,-0.9711357831990722,False
510,"Mouse, Cricket, Mouse",0.0,-1.0000000000000149,False
511,"Mouse, Cricket, Otter",0.0,-1.0000000000000149,False
512,"Mouse, Cricket, Pig",0.0,-1.0000000000000149,False
513,"Mouse, Fish, Ant",0.0,-0.941897755611456,False
514,"Mouse, Fish, Beaver",0.0,-0.7998460501822631,False
515,"Mouse, Fish, Cricket",0.0,-0.8854299251380238,False
516,"Mouse, Fish, Fish",0.0,-0.9158288283364631,False
517,"Mouse, Fish, Horse",0.0,-0.9718075585095363,False
518,"Mouse, Fish, Mosquito",0.0,-0.8378849406581144,False
519,"Mouse, Fish, Mouse",0.0,-0.9429601241691978,False
520,"Mouse, Fish, Otter",0.0,-0.9431235660477982,False
521,"Mouse, Fish, Pig",0.0,-0.439340820366661,False
460,"Mosquito, Mouse, Beaver",0.0,-0.9724490706969924,False
456,"Mosquito, Mosquito, Mouse",0.0,-0.8883449437862613,False
458,"Mosquito, Mosquito, Pig",0.0,-0.2484451111620692,False
413,"Mosquito, Ant, Pig",0.0,-0.5046078044952685,False
393,"Horse, Otter, Mouse",0.0,-1.0000000000000149,False
394,"Horse, Otter, Otter",0.0,-1.0000000000000149,False
395,"Horse, Otter, Pig",0.0,-0.9146101329240288,False
396,"Horse, Pig, Ant",0.0,-1.0000000000000149,False
397,"Horse, Pig, Beaver",0.0,-0.9191131109435189,False
398,"Horse, Pig, Cricket",0.0,-1.0000000000000149,False
399,"Horse, Pig, Fish",0.0,-0.9727869820102573,False
400,"Horse, Pig, Horse",0.0,-1.0000000000000149,False
401,"Horse, Pig, Mosquito",0.0,-0.9443949501057745,False
402,"Horse, Pig, Mouse",0.0,-1.0000000000000149,False
403,"Horse, Pig, Otter",0.0,-1.0000000000000149,False
404,"Horse, Pig, Pig",0.0,-0.6839084666749617,False
405,"Mosquito, Ant, Ant",0.0,-0.6067304208560296,False
406,"Mosquito, Ant, Beaver",0.0,-0.2503517135945448,False
407,"Mosquito, Ant, Cricket",0.0,-0.4953528454235508,False
408,"Mosquito, Ant, Fish",0.0,-0.3448922320747878,False
409,"Mosquito, Ant, Horse",0.0,-0.8542054811193264,False
410,"Mosquito, Ant, Mosquito",0.0,-0.3084314926011924,False
411,"Mosquito, Ant, Mouse",0.0,-0.8571606712654448,False
392,"Horse, Otter, Mosquito",0.0,-0.9618143429508148,False
391,"Horse, Otter, Horse",0.0,-1.0000000000000149,False
390,"Horse, Otter, Fish",0.0,-0.9732773052106003,False
379,"Horse, Mouse, Beaver",0.0,-1.0000000000000149,False
371,"Horse, Mosquito, Cricket",0.0,-0.9247302669220148,False
372,"Horse, Mosquito, Fish",0.0,-0.8813704157040414,False
373,"Horse, Mosquito, Horse",0.0,-0.9806370768542236,False
374,"Horse, Mosquito, Mosquito",0.0,-0.8137868833050012,False
375,"Horse, Mosquito, Mouse",0.0,-0.9818298075937149,False
376,"Horse, Mosquito, Otter",0.0,-0.9623288071634928,False
377,"Horse, Mosquito, Pig",0.0,-0.6149722765843936,False
378,"Horse, Mouse, Ant",0.0,-1.0000000000000149,False
380,"Horse, Mouse, Cricket",0.0,-1.0000000000000149,False
389,"Horse, Otter, Cricket",0.0,-0.9716441190663996,False
381,"Horse, Mouse, Fish",0.0,-0.9722149390883414,False
382,"Horse, Mouse, Horse",0.0,-1.0000000000000149,False
383,"Horse, Mouse, Mosquito",0.0,-0.9799796344782121,False
384,"Horse, Mouse, Mouse",0.0,-1.0000000000000149,False
385,"Horse, Mouse, Otter",0.0,-1.0000000000000149,False
386,"Horse, Mouse, Pig",0.0,-1.0000000000000149,False
387,"Horse, Otter, Ant",0.0,-1.0000000000000102,False
388,"Horse, Otter, Beaver",0.0,-1.0000000000000102,False
412,"Mosquito, Ant, Otter",0.0,-0.6581114997080407,False
